siteMeasureID,siteID,instrumentID,sampleID,reporterID,dateTime,type,aggregation,aggregationDesc,value,unit,accessToPublic,accessToAllOrg,accessToPHAC,accessToLocalHA,accessToProvHA,accessToOtherProv,accessToDetails,notes
quebec_ouest_wwtp_envrnf_2020-08-17,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-17,envrnf,single,cumulative rainfall in one day.,14.4,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-18,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-18,envrnf,single,cumulative rainfall in one day.,28.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-19,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-19,envrnf,single,cumulative rainfall in one day.,0.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-20,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-20,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-21,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-21,envrnf,single,cumulative rainfall in one day.,4.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-22,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-22,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-23,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-23,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-24,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-24,envrnf,single,cumulative rainfall in one day.,4.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-25,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-25,envrnf,single,cumulative rainfall in one day.,20.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-26,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-26,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-27,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-27,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-28,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-28,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-29,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-29,envrnf,single,cumulative rainfall in one day.,42.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-30,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-30,envrnf,single,cumulative rainfall in one day.,16.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-08-31,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-08-31,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-01,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-01,envrnf,single,cumulative rainfall in one day.,2.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-02,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-02,envrnf,single,cumulative rainfall in one day.,35.4,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-03,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-03,envrnf,single,cumulative rainfall in one day.,0.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-04,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-04,envrnf,single,cumulative rainfall in one day.,0.8,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-05,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-05,envrnf,single,cumulative rainfall in one day.,9.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-06,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-06,envrnf,single,cumulative rainfall in one day.,1.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-07,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-07,envrnf,single,cumulative rainfall in one day.,14.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-08,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-08,envrnf,single,cumulative rainfall in one day.,6.3,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-09,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-09,envrnf,single,cumulative rainfall in one day.,11.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-10,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-10,envrnf,single,cumulative rainfall in one day.,17.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-11,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-11,envrnf,single,cumulative rainfall in one day.,1.6,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-12,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-12,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-13,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-13,envrnf,single,cumulative rainfall in one day.,31.2,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-14,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-14,envrnf,single,cumulative rainfall in one day.,0.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-15,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-15,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-16,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-16,envrnf,single,cumulative rainfall in one day.,2.1,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-17,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-17,envrnf,single,cumulative rainfall in one day.,0.9,mm,True,yes,True,True,True,True,True,normales
quebec_ouest_wwtp_envrnf_2020-09-18,quebec_ouest_wwtp,pluvio_villedequebec,,nielsnicolai,2020-09-18,envrnf,single,cumulative rainfall in one day.,0.0,mm,True,yes,True,True,True,True,True,normales
